年（和暦）,年（西暦）,種別,性別,数・率
平成30,2018,死亡,総数,33487
平成30,2018,死亡,男,17759
平成30,2018,死亡,女,15728
平成30,2018,人口増減率,,0.21055
平成30,2018,社会増減率,,0.36045
平成30,2018,自然増減率,,-0.1499
令和元,2019,世帯数増減,,20746
令和元,2019,人口増減,総数,8985
令和元,2019,人口増減,男,3866
令和元,2019,人口増減,女,5119
令和元,2019,社会増減,総数,16185
令和元,2019,社会増減,男,8272
令和元,2019,社会増減,女,7913
令和元,2019,市外移動_転入,総数,151930
令和元,2019,市外移動_転入,男,82125
令和元,2019,市外移動_転入,女,69805
令和元,2019,市外移動_転出,総数,135653
令和元,2019,市外移動_転出,男,73418
令和元,2019,市外移動_転出,女,62235
令和元,2019,市内移動_転入,総数,69242
令和元,2019,市内移動_転入,男,35292
令和元,2019,市内移動_転入,女,33950
令和元,2019,市内移動_転出,総数,69195
令和元,2019,市内移動_転出,男,35250
令和元,2019,市内移動_転出,女,33945
令和元,2019,その他増減,総数,-139
令和元,2019,その他増減,男,-477
令和元,2019,その他増減,女,338
令和元,2019,自然増減,総数,-7200
令和元,2019,自然増減,男,-4406
令和元,2019,自然増減,女,-2794
令和元,2019,出生,総数,26394
令和元,2019,出生,男,13522
令和元,2019,出生,女,12872
令和元,2019,死亡,総数,33594
令和元,2019,死亡,男,17928
令和元,2019,死亡,女,15666
令和元,2019,人口増減率,,0.24018
令和元,2019,社会増減率,,0.43264
令和元,2019,自然増減率,,-0.19246
令和２,2020,世帯数増減,,19134
令和２,2020,人口増減,総数,5278
令和２,2020,人口増減,男,2016
令和２,2020,人口増減,女,3262
令和２,2020,社会増減,総数,13481
令和２,2020,社会増減,男,6914
令和２,2020,社会増減,女,6567
令和２,2020,市外移動_転入,総数,142051
令和２,2020,市外移動_転入,男,76766
令和２,2020,市外移動_転入,女,65285
令和２,2020,市外移動_転出,総数,127562
令和２,2020,市外移動_転出,男,69265
令和２,2020,市外移動_転出,女,58297
令和２,2020,市内移動_転入,総数,70573
令和２,2020,市内移動_転入,男,35829
令和２,2020,市内移動_転入,女,34744
令和２,2020,市内移動_転出,総数,70532
令和２,2020,市内移動_転出,男,35802
令和２,2020,市内移動_転出,女,34730
令和２,2020,その他増減,総数,-1049
令和２,2020,その他増減,男,-614
令和２,2020,その他増減,女,-435
令和２,2020,自然増減,総数,-8203
令和２,2020,自然増減,男,-4898
令和２,2020,自然増減,女,-3305
令和２,2020,出生,総数,25720
令和２,2020,出生,男,13218
令和２,2020,出生,女,12502
令和２,2020,死亡,総数,33923
令和２,2020,死亡,男,18116
令和２,2020,死亡,女,15807
令和２,2020,人口増減率,,0.14075
令和２,2020,社会増減率,,0.3595
令和２,2020,自然増減率,,-0.21875
令和３,2021,世帯数増減,,12361
令和３,2021,人口増減,総数,-4257
令和３,2021,人口増減,男,-4056
令和３,2021,人口増減,女,-201
令和３,2021,社会増減,総数,7200
令和３,2021,社会増減,男,2355
令和３,2021,社会増減,女,4845
令和３,2021,市外移動_転入,総数,139021
令和３,2021,市外移動_転入,男,74145
令和３,2021,市外移動_転入,女,64876
令和３,2021,市外移動_転出,総数,131362
令和３,2021,市外移動_転出,男,71327
令和３,2021,市外移動_転出,女,60035
令和３,2021,市内移動_転入,総数,70660
令和３,2021,市内移動_転入,男,35915
令和３,2021,市内移動_転入,女,34745
令和３,2021,市内移動_転出,総数,70628
令和３,2021,市内移動_転出,男,35891
令和３,2021,市内移動_転出,女,34737
令和３,2021,その他増減,総数,-491
令和３,2021,その他増減,男,-487
令和３,2021,その他増減,女,-4
令和３,2021,自然増減,総数,-11457
令和３,2021,自然増減,男,-6411
令和３,2021,自然増減,女,-5046
令和３,2021,出生,総数,24876
令和３,2021,出生,男,12767
令和３,2021,出生,女,12109
令和３,2021,死亡,総数,36333
令和３,2021,死亡,男,19178
令和３,2021,死亡,女,17155
令和３,2021,人口増減率,,-0.11273
令和３,2021,社会増減率,,0.19066
令和３,2021,自然増減率,,-0.30339
令和４,2022,世帯数増減,,15782
令和４,2022,人口増減,総数,-2434
令和４,2022,人口増減,男,-2849
令和４,2022,人口増減,女,415
令和４,2022,社会増減,総数,13305
令和４,2022,社会増減,男,6112
令和４,2022,社会増減,女,7193
令和４,2022,市外移動_転入,総数,148132
令和４,2022,市外移動_転入,男,79437
令和４,2022,市外移動_転入,女,68695
令和４,2022,市外移動_転出,総数,135172
令和４,2022,市外移動_転出,男,73282
令和４,2022,市外移動_転出,女,61890
令和４,2022,市内移動_転入,総数,67236
令和４,2022,市内移動_転入,男,34144
令和４,2022,市内移動_転入,女,33092
令和４,2022,市内移動_転出,総数,67210
令和４,2022,市内移動_転出,男,34126
令和４,2022,市内移動_転出,女,33084
令和４,2022,その他増減,総数,319
令和４,2022,その他増減,男,-61
令和４,2022,その他増減,女,380
令和４,2022,自然増減,総数,-15739
令和４,2022,自然増減,男,-8961
令和４,2022,自然増減,女,-6778
令和４,2022,出生,総数,23785
令和４,2022,出生,男,12002
令和４,2022,出生,女,11783
令和４,2022,死亡,総数,39524
令和４,2022,死亡,男,20963
令和４,2022,死亡,女,18561
令和４,2022,人口増減率,,-0.06453
令和４,2022,社会増減率,,0.35273
令和４,2022,自然増減率,,-0.41726
令和５,2023,世帯数増減,,17711
令和５,2023,人口増減,総数,-375
令和５,2023,人口増減,男,-1496
令和５,2023,人口増減,女,1121
令和５,2023,社会増減,総数,16117
令和５,2023,社会増減,男,7789
令和５,2023,社会増減,女,8328
令和５,2023,市外移動_転入,総数,149213
令和５,2023,市外移動_転入,男,80115
令和５,2023,市外移動_転入,女,69098
令和５,2023,市外移動_転出,総数,133972
令和５,2023,市外移動_転出,男,72481
令和５,2023,市外移動_転出,女,61491
令和５,2023,市内移動_転入,総数,67131
令和５,2023,市内移動_転入,男,34032
令和５,2023,市内移動_転入,女,33099
令和５,2023,市内移動_転出,総数,67112
令和５,2023,市内移動_転出,男,34020
令和５,2023,市内移動_転出,女,33092
令和５,2023,その他増減,総数,857
令和５,2023,その他増減,男,143
令和５,2023,その他増減,女,714
令和５,2023,自然増減,総数,-16492
令和５,2023,自然増減,男,-9285
令和５,2023,自然増減,女,-7207
令和５,2023,出生,総数,22954
令和５,2023,出生,男,11669
令和５,2023,出生,女,11285
令和５,2023,死亡,総数,39446
令和５,2023,死亡,男,20954
令和５,2023,死亡,女,18492
令和５,2023,人口増減率,,-0.00995
令和５,2023,社会増減率,,0.42755
令和５,2023,自然増減率,,-0.4375
令和６,2024,世帯数増減,,19205
令和６,2024,人口増減,総数,364
令和６,2024,人口増減,男,-76
令和６,2024,人口増減,女,440
令和６,2024,社会増減,総数,18802
令和６,2024,社会増減,男,9766
令和６,2024,社会増減,女,9036
令和６,2024,市外移動_転入,総数,151791
令和６,2024,市外移動_転入,男,81890
令和６,2024,市外移動_転入,女,69901
令和６,2024,市外移動_転出,総数,134061
令和６,2024,市外移動_転出,男,72458
令和６,2024,市外移動_転出,女,61603
令和６,2024,市内移動_転入,総数,65149
令和６,2024,市内移動_転入,男,33035
令和６,2024,市内移動_転入,女,32114
令和６,2024,市内移動_転出,総数,65137
令和６,2024,市内移動_転出,男,33022
令和６,2024,市内移動_転出,女,32115
令和６,2024,その他増減,総数,1060
令和６,2024,その他増減,男,321
令和６,2024,その他増減,女,739
令和６,2024,自然増減,総数,-18438
令和６,2024,自然増減,男,-9842
令和６,2024,自然増減,女,-8596
令和６,2024,出生,総数,22137
令和６,2024,出生,男,11471
令和６,2024,出生,女,10666
令和６,2024,死亡,総数,40575
令和６,2024,死亡,男,21313
令和６,2024,死亡,女,19262
令和６,2024,人口増減率,,0.00966
令和６,2024,社会増減率,,0.49883
令和６,2024,自然増減率,,-0.48917
令和７,2025,世帯数増減,,19406
令和７,2025,人口増減,総数,164
令和７,2025,人口増減,男,-743
令和７,2025,人口増減,女,907
令和７,2025,社会増減,総数,18896
令和７,2025,社会増減,男,9484
令和７,2025,社会増減,女,9412
令和７,2025,市外移動_転入,総数,152685
令和７,2025,市外移動_転入,男,82542
令和７,2025,市外移動_転入,女,70143
令和７,2025,市外移動_転出,総数,134070
令和７,2025,市外移動_転出,男,72994
令和７,2025,市外移動_転出,女,61076
令和７,2025,市内移動_転入,総数,66082
令和７,2025,市内移動_転入,男,33516
令和７,2025,市内移動_転入,女,32566
令和７,2025,市内移動_転出,総数,66068
令和７,2025,市内移動_転出,男,33504
令和７,2025,市内移動_転出,女,32564
令和７,2025,その他増減,総数,267
令和７,2025,その他増減,男,-76
令和７,2025,その他増減,女,343
令和７,2025,自然増減,総数,-18732
令和７,2025,自然増減,男,-10227
令和７,2025,自然増減,女,-8505
令和７,2025,出生,総数,21831
令和７,2025,出生,男,11242
令和７,2025,出生,女,10589
令和７,2025,死亡,総数,40563
令和７,2025,死亡,男,21469
令和７,2025,死亡,女,19094
令和７,2025,人口増減率,,0.00435
令和７,2025,社会増減率,,0.50128
令和７,2025,自然増減率,,-0.49692
